mes;cuit;tipo;monto
03/2019;30-62629625-0;613963.28;"Comp. Usuario con discapacidad"
03/2019;30-62730398-6;231155.78;"Comp. Usuario con discapacidad"
03/2019;30-62834410-4;12997.20;"Comp. Usuario con discapacidad"
03/2019;30-62944722-5;54377.98;"Comp. Usuario con discapacidad"
03/2019;30-63380097-5;495495.51;"Comp. Usuario con discapacidad"
03/2019;30-64392215-7;963392.02;"Comp. Usuario con discapacidad"
03/2019;30-64472067-1;319516.78;"Comp. Usuario con discapacidad"
03/2019;30-65108882-4;643674.00;"Comp. Usuario con discapacidad"
03/2019;30-65289644-4;307629.91;"Comp. Usuario con discapacidad"
03/2019;30-65829220-6;4350.11;"Comp. Usuario con discapacidad"
03/2019;30-66419466-6;37764.27;"Comp. Usuario con discapacidad"
03/2019;30-67437645-2;381562.99;"Comp. Usuario con discapacidad"
03/2019;30-67611410-2;540399.41;"Comp. Usuario con discapacidad"
03/2019;30-67871434-4;112720.21;"Comp. Usuario con discapacidad"
03/2019;30-68784108-1;136970.49;"Comp. Usuario con discapacidad"
03/2019;30-68902450-1;259832.91;"Comp. Usuario con discapacidad"
03/2019;30-70721568-9;1531989.87;"Comp. Usuario con discapacidad"
03/2019;30-70743664-2;139770.21;"Comp. Usuario con discapacidad"
03/2019;30-70787028-8;16663.08;"Comp. Usuario con discapacidad"
03/2019;30-70939332-0;20884.39;"Comp. Usuario con discapacidad"
03/2019;30-71124418-9;35866.67;"Comp. Usuario con discapacidad"
03/2019;33-54641970-9;83648.65;"Comp. Usuario con discapacidad"
03/2019;33-54662883-9;318049.57;"Comp. Usuario con discapacidad"
03/2019;33-56802704-9;35041.30;"Comp. Usuario con discapacidad"
03/2019;33-60077099-9;232788.82;"Comp. Usuario con discapacidad"
03/2019;33-60274919-9;251770.24;"Comp. Usuario con discapacidad"
03/2019;33-64571375-9;84898.51;"Comp. Usuario con discapacidad"
03/2019;33-65973590-9;11050.76;"Comp. Usuario con discapacidad"
03/2019;33-70818048-9;48925.58;"Comp. Usuario con discapacidad"
02/2019;23-13418186-9;68617.04;"Comp. Usuario con discapacidad"
02/2019;30-53313348-3;164256.76;"Comp. Usuario con discapacidad"
02/2019;30-54408966-4;140635.92;"Comp. Usuario con discapacidad"
02/2019;30-54578922-8;89915.39;"Comp. Usuario con discapacidad"
02/2019;30-54622131-4;952875.46;"Comp. Usuario con discapacidad"
02/2019;30-54622179-9;4963.90;"Comp. Usuario con discapacidad"
02/2019;30-54622766-5;902752.64;"Comp. Usuario con discapacidad"
02/2019;30-54623424-6;156100.38;"Comp. Usuario con discapacidad"
02/2019;30-54624380-6;439008.06;"Comp. Usuario con discapacidad"
02/2019;30-54624762-3;778512.45;"Comp. Usuario con discapacidad"
02/2019;30-54625284-8;144058.37;"Comp. Usuario con discapacidad"
02/2019;30-54625314-3;385665.64;"Comp. Usuario con discapacidad"
02/2019;30-54625840-4;552193.36;"Comp. Usuario con discapacidad"
02/2019;30-54626164-2;11642.82;"Comp. Usuario con discapacidad"
02/2019;30-54626201-0;110854.14;"Comp. Usuario con discapacidad"
02/2019;30-54633302-3;639007.94;"Comp. Usuario con discapacidad"
02/2019;30-54633760-6;229320.10;"Comp. Usuario con discapacidad"
02/2019;30-54633944-7;545904.96;"Comp. Usuario con discapacidad"
02/2019;30-54634367-3;102393.49;"Comp. Usuario con discapacidad"
02/2019;30-54637090-5;110252.63;"Comp. Usuario con discapacidad"
02/2019;30-54639386-7;512558.63;"Comp. Usuario con discapacidad"
02/2019;30-54640151-7;150991.12;"Comp. Usuario con discapacidad"
02/2019;30-54641680-8;238160.96;"Comp. Usuario con discapacidad"
02/2019;30-54657368-7;19760.15;"Comp. Usuario con discapacidad"
02/2019;30-54662272-6;168557.32;"Comp. Usuario con discapacidad"
02/2019;30-55076210-9;222012.01;"Comp. Usuario con discapacidad"
02/2019;30-56178540-2;604582.81;"Comp. Usuario con discapacidad"
02/2019;30-56238208-5;131696.88;"Comp. Usuario con discapacidad"
02/2019;30-56354526-3;52792.44;"Comp. Usuario con discapacidad"
02/2019;30-56394131-2;3171.86;"Comp. Usuario con discapacidad"
02/2019;30-56468014-8;238600.30;"Comp. Usuario con discapacidad"
02/2019;30-56610811-5;15746.50;"Comp. Usuario con discapacidad"
02/2019;30-56932483-8;358999.86;"Comp. Usuario con discapacidad"
02/2019;30-57733887-2;1627048.35;"Comp. Usuario con discapacidad"
02/2019;30-57945598-1;7438.26;"Comp. Usuario con discapacidad"
02/2019;30-58121405-3;521775.91;"Comp. Usuario con discapacidad"
02/2019;30-59033015-5;25583.18;"Comp. Usuario con discapacidad"
02/2019;30-60597072-5;362240.60;"Comp. Usuario con discapacidad"
02/2019;30-61035814-0;45021.70;"Comp. Usuario con discapacidad"
02/2019;30-61133884-4;2886682.29;"Comp. Usuario con discapacidad"
02/2019;30-61322839-6;258905.00;"Comp. Usuario con discapacidad"
02/2019;30-61580178-6;7073.23;"Comp. Usuario con discapacidad"
02/2019;30-62629625-0;564126.36;"Comp. Usuario con discapacidad"
02/2019;30-62730398-6;232389.45;"Comp. Usuario con discapacidad"
02/2019;30-62834410-4;11788.72;"Comp. Usuario con discapacidad"
02/2019;30-62944722-5;55828.71;"Comp. Usuario con discapacidad"
02/2019;30-63380097-5;486724.86;"Comp. Usuario con discapacidad"
02/2019;30-64392215-7;885224.40;"Comp. Usuario con discapacidad"
02/2019;30-64472067-1;332284.72;"Comp. Usuario con discapacidad"
02/2019;30-65108882-4;666660.32;"Comp. Usuario con discapacidad"
02/2019;30-65289644-4;332689.88;"Comp. Usuario con discapacidad"
02/2019;30-65829220-6;6339.39;"Comp. Usuario con discapacidad"
02/2019;30-66419466-6;27170.20;"Comp. Usuario con discapacidad"
02/2019;30-67437645-2;370655.70;"Comp. Usuario con discapacidad"
02/2019;30-67611410-2;427403.74;"Comp. Usuario con discapacidad"
02/2019;30-67871434-4;131500.54;"Comp. Usuario con discapacidad"
02/2019;30-68784108-1;132033.71;"Comp. Usuario con discapacidad"
02/2019;30-68902450-1;247338.65;"Comp. Usuario con discapacidad"
02/2019;30-70721568-9;1571856.94;"Comp. Usuario con discapacidad"
02/2019;30-70742374-5;8083.70;"Comp. Usuario con discapacidad"
02/2019;30-70743664-2;156683.99;"Comp. Usuario con discapacidad"
02/2019;30-70787028-8;16616.49;"Comp. Usuario con discapacidad"
02/2019;30-70939332-0;41712.07;"Comp. Usuario con discapacidad"
02/2019;30-71124418-9;37512.39;"Comp. Usuario con discapacidad"
02/2019;33-54641970-9;72753.27;"Comp. Usuario con discapacidad"
02/2019;33-54662883-9;249423.58;"Comp. Usuario con discapacidad"
02/2019;33-56802704-9;31883.52;"Comp. Usuario con discapacidad"
02/2019;33-60077099-9;219427.55;"Comp. Usuario con discapacidad"
02/2019;33-60274919-9;229064.09;"Comp. Usuario con discapacidad"
02/2019;33-64571375-9;79950.71;"Comp. Usuario con discapacidad"
02/2019;33-65973590-9;9068.67;"Comp. Usuario con discapacidad"
02/2019;33-70818048-9;46870.69;"Comp. Usuario con discapacidad"
01/2019;23-13418186-9;71293.60;"Comp. Usuario con discapacidad"
01/2019;30-53313348-3;158705.12;"Comp. Usuario con discapacidad"
01/2019;30-54408966-4;114641.39;"Comp. Usuario con discapacidad"
01/2019;30-54578922-8;86951.64;"Comp. Usuario con discapacidad"
01/2019;30-54622131-4;852807.07;"Comp. Usuario con discapacidad"
01/2019;30-54622179-9;6096.94;"Comp. Usuario con discapacidad"
01/2019;30-54622766-5;954811.78;"Comp. Usuario con discapacidad"
01/2019;30-54623424-6;150913.25;"Comp. Usuario con discapacidad"
01/2019;30-54624380-6;394155.13;"Comp. Usuario con discapacidad"
01/2019;30-54624762-3;769982.31;"Comp. Usuario con discapacidad"
01/2019;30-54625284-8;123224.00;"Comp. Usuario con discapacidad"
01/2019;30-54625314-3;400577.40;"Comp. Usuario con discapacidad"
01/2019;30-54625840-4;534060.86;"Comp. Usuario con discapacidad"
01/2019;30-54626164-2;13058.41;"Comp. Usuario con discapacidad"
01/2019;30-54626201-0;107755.73;"Comp. Usuario con discapacidad"
01/2019;30-54633302-3;670594.80;"Comp. Usuario con discapacidad"
01/2019;30-54633760-6;225202.10;"Comp. Usuario con discapacidad"
01/2019;30-54633944-7;526893.05;"Comp. Usuario con discapacidad"
01/2019;30-54634367-3;102677.96;"Comp. Usuario con discapacidad"
01/2019;30-54637090-5;113694.02;"Comp. Usuario con discapacidad"
01/2019;30-54639386-7;527930.29;"Comp. Usuario con discapacidad"
01/2019;30-54640151-7;176418.07;"Comp. Usuario con discapacidad"
01/2019;30-54641680-8;305368.99;"Comp. Usuario con discapacidad"
01/2019;30-54657368-7;18082.96;"Comp. Usuario con discapacidad"
01/2019;30-54662272-6;159609.32;"Comp. Usuario con discapacidad"
01/2019;30-55076210-9;270432.60;"Comp. Usuario con discapacidad"
01/2019;30-56178540-2;640272.78;"Comp. Usuario con discapacidad"
01/2019;30-56238208-5;148716.77;"Comp. Usuario con discapacidad"
01/2019;30-56354526-3;44890.61;"Comp. Usuario con discapacidad"
01/2019;30-56394131-2;5336.83;"Comp. Usuario con discapacidad"
01/2019;30-56468014-8;223083.43;"Comp. Usuario con discapacidad"
01/2019;30-56610811-5;20753.89;"Comp. Usuario con discapacidad"
01/2019;30-56932483-8;334727.07;"Comp. Usuario con discapacidad"
01/2019;30-57733887-2;1472233.58;"Comp. Usuario con discapacidad"
01/2019;30-57945598-1;1558.88;"Comp. Usuario con discapacidad"
01/2019;30-58121405-3;501259.20;"Comp. Usuario con discapacidad"
01/2019;30-59033015-5;20323.12;"Comp. Usuario con discapacidad"
01/2019;30-60597072-5;348015.92;"Comp. Usuario con discapacidad"
01/2019;30-61035814-0;42266.37;"Comp. Usuario con discapacidad"
01/2019;30-61133884-4;2783452.10;"Comp. Usuario con discapacidad"
01/2019;30-61322839-6;275669.52;"Comp. Usuario con discapacidad"
01/2019;30-61580178-6;16835.86;"Comp. Usuario con discapacidad"
01/2019;30-62629625-0;513723.18;"Comp. Usuario con discapacidad"
01/2019;30-62730398-6;250563.33;"Comp. Usuario con discapacidad"
01/2019;30-62834410-4;11847.46;"Comp. Usuario con discapacidad"
01/2019;30-62944722-5;53693.61;"Comp. Usuario con discapacidad"
01/2019;30-63380097-5;437339.76;"Comp. Usuario con discapacidad"
01/2019;30-64392215-7;1013028.89;"Comp. Usuario con discapacidad"
01/2019;30-64472067-1;302419.43;"Comp. Usuario con discapacidad"
01/2019;30-65108882-4;637535.08;"Comp. Usuario con discapacidad"
01/2019;30-65289644-4;340772.80;"Comp. Usuario con discapacidad"
01/2019;30-65829220-6;3508.35;"Comp. Usuario con discapacidad"
01/2019;30-66419466-6;27020.52;"Comp. Usuario con discapacidad"
01/2019;30-67437645-2;358220.16;"Comp. Usuario con discapacidad"
01/2019;30-67611410-2;484082.95;"Comp. Usuario con discapacidad"
01/2019;30-67871434-4;123343.49;"Comp. Usuario con discapacidad"
01/2019;30-68784108-1;122527.65;"Comp. Usuario con discapacidad"
01/2019;30-68902450-1;199328.27;"Comp. Usuario con discapacidad"
01/2019;30-70721568-9;1594061.37;"Comp. Usuario con discapacidad"
01/2019;30-70742374-5;5996.53;"Comp. Usuario con discapacidad"
01/2019;30-70743664-2;149376.97;"Comp. Usuario con discapacidad"
01/2019;30-70787028-8;14549.51;"Comp. Usuario con discapacidad"
01/2019;30-70939332-0;49685.22;"Comp. Usuario con discapacidad"
01/2019;30-71124418-9;34130.60;"Comp. Usuario con discapacidad"
01/2019;33-54641970-9;73890.72;"Comp. Usuario con discapacidad"
01/2019;33-54662883-9;308774.42;"Comp. Usuario con discapacidad"
01/2019;33-56802704-9;27303.67;"Comp. Usuario con discapacidad"
01/2019;33-60077099-9;238980.96;"Comp. Usuario con discapacidad"
01/2019;33-60274919-9;240992.18;"Comp. Usuario con discapacidad"
01/2019;33-64571375-9;78967.99;"Comp. Usuario con discapacidad"
01/2019;33-65973590-9;9719.75;"Comp. Usuario con discapacidad"
01/2019;33-70818048-9;42236.75;"Comp. Usuario con discapacidad"
12/2018;23-13418186-9;69458.82;"Comp. Usuario con discapacidad"
12/2018;30-53313348-3;266048.11;"Comp. Usuario con discapacidad"
12/2018;30-54408966-4;92619.25;"Comp. Usuario con discapacidad"
12/2018;30-54578922-8;160420.34;"Comp. Usuario con discapacidad"
12/2018;30-54622131-4;812907.60;"Comp. Usuario con discapacidad"
12/2018;30-54622179-9;8200.91;"Comp. Usuario con discapacidad"
12/2018;30-54622766-5;1003694.32;"Comp. Usuario con discapacidad"
12/2018;30-54623424-6;169634.85;"Comp. Usuario con discapacidad"
12/2018;30-54624380-6;465660.12;"Comp. Usuario con discapacidad"
12/2018;30-54624762-3;796846.22;"Comp. Usuario con discapacidad"
12/2018;30-54625284-8;102286.56;"Comp. Usuario con discapacidad"
12/2018;30-54625314-3;455968.14;"Comp. Usuario con discapacidad"
12/2018;30-54625840-4;538200.85;"Comp. Usuario con discapacidad"
12/2018;30-54626164-2;9917.83;"Comp. Usuario con discapacidad"
12/2018;30-54626201-0;99989.10;"Comp. Usuario con discapacidad"
12/2018;30-54633302-3;681585.13;"Comp. Usuario con discapacidad"
12/2018;30-54633760-6;278288.07;"Comp. Usuario con discapacidad"
12/2018;30-54633944-7;622891.10;"Comp. Usuario con discapacidad"
12/2018;30-54634367-3;103375.81;"Comp. Usuario con discapacidad"
12/2018;30-54637090-5;111591.52;"Comp. Usuario con discapacidad"
12/2018;30-54639386-7;423450.67;"Comp. Usuario con discapacidad"
12/2018;30-54640151-7;209696.49;"Comp. Usuario con discapacidad"
12/2018;30-54641680-8;266491.60;"Comp. Usuario con discapacidad"
12/2018;30-54657368-7;13843.96;"Comp. Usuario con discapacidad"
12/2018;30-54662272-6;184523.11;"Comp. Usuario con discapacidad"
12/2018;30-55076210-9;220021.08;"Comp. Usuario con discapacidad"
12/2018;30-56178540-2;611716.81;"Comp. Usuario con discapacidad"
12/2018;30-56238208-5;207415.48;"Comp. Usuario con discapacidad"
12/2018;30-56354526-3;52426.59;"Comp. Usuario con discapacidad"
12/2018;30-56394131-2;5435.84;"Comp. Usuario con discapacidad"
12/2018;30-56468014-8;255053.63;"Comp. Usuario con discapacidad"
12/2018;30-56610811-5;6904.99;"Comp. Usuario con discapacidad"
12/2018;30-56932483-8;333349.26;"Comp. Usuario con discapacidad"
12/2018;30-57733887-2;1264935.36;"Comp. Usuario con discapacidad"
12/2018;30-57945598-1;8737.58;"Comp. Usuario con discapacidad"
12/2018;30-58121405-3;555923.25;"Comp. Usuario con discapacidad"
12/2018;30-59033015-5;25181.60;"Comp. Usuario con discapacidad"
12/2018;30-60597072-5;365414.47;"Comp. Usuario con discapacidad"
12/2018;30-61035814-0;41645.36;"Comp. Usuario con discapacidad"
12/2018;30-61133884-4;2897831.53;"Comp. Usuario con discapacidad"
12/2018;30-61322839-6;306091.11;"Comp. Usuario con discapacidad"
12/2018;30-61580178-6;40056.71;"Comp. Usuario con discapacidad"
12/2018;30-62629625-0;323258.74;"Comp. Usuario con discapacidad"
12/2018;30-62730398-6;250536.01;"Comp. Usuario con discapacidad"
12/2018;30-62834410-4;15319.14;"Comp. Usuario con discapacidad"
12/2018;30-62944722-5;42780.66;"Comp. Usuario con discapacidad"
12/2018;30-63380097-5;247762.72;"Comp. Usuario con discapacidad"
12/2018;30-64392215-7;946890.44;"Comp. Usuario con discapacidad"
12/2018;30-64472067-1;337559.89;"Comp. Usuario con discapacidad"
12/2018;30-65108882-4;563236.09;"Comp. Usuario con discapacidad"
12/2018;30-65289644-4;342248.55;"Comp. Usuario con discapacidad"
12/2018;30-65829220-6;3705.76;"Comp. Usuario con discapacidad"
12/2018;30-66419466-6;47495.08;"Comp. Usuario con discapacidad"
12/2018;30-67437645-2;374917.32;"Comp. Usuario con discapacidad"
12/2018;30-67611410-2;473515.12;"Comp. Usuario con discapacidad"
12/2018;30-67871434-4;101412.74;"Comp. Usuario con discapacidad"
12/2018;30-68784108-1;98723.33;"Comp. Usuario con discapacidad"
12/2018;30-68902450-1;163971.51;"Comp. Usuario con discapacidad"
12/2018;30-70721568-9;1654880.73;"Comp. Usuario con discapacidad"
12/2018;30-70742374-5;385.92;"Comp. Usuario con discapacidad"
12/2018;30-70743664-2;123614.39;"Comp. Usuario con discapacidad"
12/2018;30-70787028-8;21560.27;"Comp. Usuario con discapacidad"
12/2018;30-70939332-0;49667.01;"Comp. Usuario con discapacidad"
12/2018;30-71124418-9;31786.18;"Comp. Usuario con discapacidad"
12/2018;33-54641970-9;93730.43;"Comp. Usuario con discapacidad"
12/2018;33-54662883-9;313448.90;"Comp. Usuario con discapacidad"
12/2018;33-56802704-9;31935.29;"Comp. Usuario con discapacidad"
12/2018;33-60077099-9;199597.21;"Comp. Usuario con discapacidad"
12/2018;33-60274919-9;330861.57;"Comp. Usuario con discapacidad"
12/2018;33-64571375-9;74877.12;"Comp. Usuario con discapacidad"
12/2018;33-65973590-9;11288.30;"Comp. Usuario con discapacidad"
12/2018;33-70818048-9;52678.76;"Comp. Usuario con discapacidad"
11/2018;23-13418186-9;80125.47;"Comp. Usuario con discapacidad"
11/2018;30-53313348-3;232418.34;"Comp. Usuario con discapacidad"
11/2018;30-54408966-4;30722.40;"Comp. Usuario con discapacidad"
11/2018;30-54578922-8;156893.82;"Comp. Usuario con discapacidad"
11/2018;30-54622131-4;806852.43;"Comp. Usuario con discapacidad"
11/2018;30-54622179-9;6530.37;"Comp. Usuario con discapacidad"
11/2018;30-54622766-5;1098823.26;"Comp. Usuario con discapacidad"
11/2018;30-54623424-6;157594.92;"Comp. Usuario con discapacidad"
11/2018;30-54624380-6;490826.35;"Comp. Usuario con discapacidad"
11/2018;30-54624762-3;731638.03;"Comp. Usuario con discapacidad"
11/2018;30-54625284-8;32224.30;"Comp. Usuario con discapacidad"
11/2018;30-54625314-3;377505.22;"Comp. Usuario con discapacidad"
11/2018;30-54625840-4;532665.10;"Comp. Usuario con discapacidad"
11/2018;30-54626164-2;14633.51;"Comp. Usuario con discapacidad"
11/2018;30-54626201-0;102559.75;"Comp. Usuario con discapacidad"
11/2018;30-54633302-3;655077.90;"Comp. Usuario con discapacidad"
11/2018;30-54633760-6;251977.32;"Comp. Usuario con discapacidad"
11/2018;30-54633944-7;599384.27;"Comp. Usuario con discapacidad"
11/2018;30-54634367-3;108674.77;"Comp. Usuario con discapacidad"
11/2018;30-54637090-5;132977.57;"Comp. Usuario con discapacidad"
11/2018;30-54639386-7;372280.71;"Comp. Usuario con discapacidad"
11/2018;30-54640151-7;238471.34;"Comp. Usuario con discapacidad"
11/2018;30-54641680-8;235498.00;"Comp. Usuario con discapacidad"
11/2018;30-54657368-7;41268.90;"Comp. Usuario con discapacidad"
11/2018;30-54662272-6;189872.94;"Comp. Usuario con discapacidad"
11/2018;30-55076210-9;214547.89;"Comp. Usuario con discapacidad"
11/2018;30-56178540-2;652720.39;"Comp. Usuario con discapacidad"
11/2018;30-56238208-5;223895.42;"Comp. Usuario con discapacidad"
11/2018;30-56354526-3;53134.54;"Comp. Usuario con discapacidad"
11/2018;30-56394131-2;3531.01;"Comp. Usuario con discapacidad"
11/2018;30-56468014-8;241487.87;"Comp. Usuario con discapacidad"
11/2018;30-56610811-5;9526.40;"Comp. Usuario con discapacidad"
11/2018;30-56932483-8;302073.74;"Comp. Usuario con discapacidad"
11/2018;30-57733887-2;1193472.03;"Comp. Usuario con discapacidad"
11/2018;30-57945598-1;11102.51;"Comp. Usuario con discapacidad"
11/2018;30-58121405-3;504671.81;"Comp. Usuario con discapacidad"
11/2018;30-59033015-5;21442.99;"Comp. Usuario con discapacidad"
11/2018;30-60597072-5;361034.77;"Comp. Usuario con discapacidad"
11/2018;30-61035814-0;32327.31;"Comp. Usuario con discapacidad"
11/2018;30-61133884-4;2920466.99;"Comp. Usuario con discapacidad"
11/2018;30-61322839-6;320077.10;"Comp. Usuario con discapacidad"
11/2018;30-61580178-6;53076.39;"Comp. Usuario con discapacidad"
11/2018;30-62629625-0;225277.14;"Comp. Usuario con discapacidad"
11/2018;30-62730398-6;198549.27;"Comp. Usuario con discapacidad"
11/2018;30-62834410-4;17539.28;"Comp. Usuario con discapacidad"
11/2018;30-62944722-5;49236.92;"Comp. Usuario con discapacidad"
11/2018;30-63380097-5;527968.91;"Comp. Usuario con discapacidad"
11/2018;30-64392215-7;1076608.82;"Comp. Usuario con discapacidad"
11/2018;30-64472067-1;336723.66;"Comp. Usuario con discapacidad"
11/2018;30-65108882-4;612829.89;"Comp. Usuario con discapacidad"
11/2018;30-65289644-4;332657.69;"Comp. Usuario con discapacidad"
11/2018;30-65829220-6;5721.82;"Comp. Usuario con discapacidad"
11/2018;30-66419466-6;52663.81;"Comp. Usuario con discapacidad"
11/2018;30-67437645-2;366440.37;"Comp. Usuario con discapacidad"
11/2018;30-67611410-2;510129.47;"Comp. Usuario con discapacidad"
11/2018;30-67871434-4;117255.29;"Comp. Usuario con discapacidad"
11/2018;30-68784108-1;109362.59;"Comp. Usuario con discapacidad"
11/2018;30-68902450-1;210242.12;"Comp. Usuario con discapacidad"
11/2018;30-70721568-9;1699019.94;"Comp. Usuario con discapacidad"
11/2018;30-70742374-5;8580.52;"Comp. Usuario con discapacidad"
11/2018;30-70743664-2;176499.31;"Comp. Usuario con discapacidad"
11/2018;30-70787028-8;19946.64;"Comp. Usuario con discapacidad"
11/2018;30-70939332-0;49079.09;"Comp. Usuario con discapacidad"
11/2018;33-54641970-9;84715.88;"Comp. Usuario con discapacidad"
11/2018;33-54662883-9;314064.53;"Comp. Usuario con discapacidad"
11/2018;33-56802704-9;28753.10;"Comp. Usuario con discapacidad"
11/2018;33-60077099-9;210780.97;"Comp. Usuario con discapacidad"
11/2018;33-60274919-9;275385.74;"Comp. Usuario con discapacidad"
11/2018;33-64571375-9;82039.94;"Comp. Usuario con discapacidad"
11/2018;33-65973590-9;11306.31;"Comp. Usuario con discapacidad"
11/2018;33-70818048-9;38597.39;"Comp. Usuario con discapacidad"
10/2018;23-13418186-9;71226.28;"Comp. Usuario con discapacidad"
10/2018;30-53313348-3;211174.03;"Comp. Usuario con discapacidad"
10/2018;30-54408966-4;33839.35;"Comp. Usuario con discapacidad"
10/2018;30-54578922-8;171089.49;"Comp. Usuario con discapacidad"
10/2018;30-54622131-4;780673.08;"Comp. Usuario con discapacidad"
10/2018;30-54622179-9;7073.42;"Comp. Usuario con discapacidad"
10/2018;30-54622766-5;1110232.44;"Comp. Usuario con discapacidad"
10/2018;30-54623424-6;170596.35;"Comp. Usuario con discapacidad"
10/2018;30-54624380-6;525177.73;"Comp. Usuario con discapacidad"
10/2018;30-54624762-3;743545.75;"Comp. Usuario con discapacidad"
10/2018;30-54625314-3;363283.03;"Comp. Usuario con discapacidad"
10/2018;30-54625840-4;536217.46;"Comp. Usuario con discapacidad"
10/2018;30-54626164-2;15958.65;"Comp. Usuario con discapacidad"
10/2018;30-54626201-0;97179.18;"Comp. Usuario con discapacidad"
10/2018;30-54633302-3;688790.82;"Comp. Usuario con discapacidad"
10/2018;30-54633760-6;252695.63;"Comp. Usuario con discapacidad"
10/2018;30-54633944-7;622131.52;"Comp. Usuario con discapacidad"
10/2018;30-54634367-3;115346.10;"Comp. Usuario con discapacidad"
10/2018;30-54637090-5;139500.23;"Comp. Usuario con discapacidad"
10/2018;30-54639386-7;392987.17;"Comp. Usuario con discapacidad"
10/2018;30-54640151-7;230754.12;"Comp. Usuario con discapacidad"
10/2018;30-54641680-8;318827.03;"Comp. Usuario con discapacidad"
10/2018;30-54657368-7;33502.08;"Comp. Usuario con discapacidad"
10/2018;30-54662272-6;205702.23;"Comp. Usuario con discapacidad"
10/2018;30-55076210-9;206698.29;"Comp. Usuario con discapacidad"
10/2018;30-56178540-2;645366.17;"Comp. Usuario con discapacidad"
10/2018;30-56238208-5;227656.78;"Comp. Usuario con discapacidad"
10/2018;30-56354526-3;51687.47;"Comp. Usuario con discapacidad"
10/2018;30-56394131-2;5036.77;"Comp. Usuario con discapacidad"
10/2018;30-56468014-8;220733.80;"Comp. Usuario con discapacidad"
10/2018;30-56610811-5;9151.35;"Comp. Usuario con discapacidad"
10/2018;30-56932483-8;303069.87;"Comp. Usuario con discapacidad"
10/2018;30-57733887-2;1218244.97;"Comp. Usuario con discapacidad"
10/2018;30-58121405-3;486948.99;"Comp. Usuario con discapacidad"
10/2018;30-59033015-5;25139.33;"Comp. Usuario con discapacidad"
10/2018;30-60597072-5;387928.67;"Comp. Usuario con discapacidad"
10/2018;30-61035814-0;36200.24;"Comp. Usuario con discapacidad"
10/2018;30-61133884-4;2997407.35;"Comp. Usuario con discapacidad"
10/2018;30-61322839-6;341644.03;"Comp. Usuario con discapacidad"
10/2018;30-61580178-6;22259.77;"Comp. Usuario con discapacidad"
